placename,species,pig_present_at_site,radtime
B07,White-tailed Deer,no,1.898045562
B07,White-tailed Deer,no,2.212204827
B07,White-tailed Deer,no,3.625921521
B07,White-tailed Deer,no,4.71238898
B07,White-tailed Deer,no,6.213372137
B07,White-tailed Deer,no,0.239982772
B07,White-tailed Deer,no,0.475602221
B07,White-tailed Deer,no,1.588249619
B07,White-tailed Deer,no,1.863138977
B08,White-tailed Deer,no,4.149520297
B08,Wild Pig,NA,4.358959807
B08,White-tailed Deer,yes,5.109451385
B08,White-tailed Deer,yes,2.190388211
B08,White-tailed Deer,yes,3.311762256
B08,Wild Pig,NA,3.473205211
B08,White-tailed Deer,yes,3.735004599
B08,White-tailed Deer,yes,4.158246943
B08,White-tailed Deer,yes,4.93491846
B08,Wild Pig,NA,5.08763477
B08,White-tailed Deer,yes,6.226462106
B08,Wild Pig,NA,2.565634
B08,White-tailed Deer,yes,2.884156589
B09,White-tailed Deer,no,4.987278338
B09,White-tailed Deer,no,2.015855286
B09,White-tailed Deer,no,3.800454446
B09,White-tailed Deer,no,4.132067004
B09,White-tailed Deer,no,4.694935688
B09,White-tailed Deer,no,2.207841504
B10,White-tailed Deer,no,6.073745797
B10,White-tailed Deer,no,0.314159265
B10,White-tailed Deer,no,0.968657735
B10,White-tailed Deer,no,1.383173432
B10,White-tailed Deer,no,5.859942964
B11,White-tailed Deer,no,0.815941425
B11,White-tailed Deer,no,1.304633616
B11,White-tailed Deer,no,4.895648552
B11,White-tailed Deer,no,5.480333851
B11,White-tailed Deer,no,5.654866776
B11,White-tailed Deer,no,6.095562413
B11,White-tailed Deer,no,0.436332313
B11,White-tailed Deer,no,0.737401609
B11,White-tailed Deer,no,1.195550538
B11,White-tailed Deer,no,1.623156204
B11,White-tailed Deer,no,4.939281783
B11,Wild Pig,NA,5.558873668
B11,White-tailed Deer,yes,6.113015705
B11,Wild Pig,NA,0.92066118
B11,White-tailed Deer,yes,1.42244334
B12,White-tailed Deer,no,4.118977035
B12,White-tailed Deer,no,4.577125963
B12,White-tailed Deer,no,5.061454831
B12,White-tailed Deer,no,0.523598776
B12,White-tailed Deer,no,1.300270293
B12,White-tailed Deer,no,1.876228946
B12,Wild Pig,NA,1.963495408
B12,Wild Pig,NA,3.324852225
B12,White-tailed Deer,yes,3.695734691
B13,White-tailed Deer,no,2.172934919
B13,Wild Pig,NA,4.786565474
B13,Wild Pig,NA,0.859574657
B13,White-tailed Deer,yes,3.809181092
